user_name	created	retweets	text
CBC	2015-10-27 09:16:49	8	Passenger expected to recount terrifying night on streetcar at Forcillo trial https://t.co/R2dtlQ6XxS https://t.co/61ixBRvUbs
CBC	2015-10-27 09:00:08	12	Deer population down 15 - 20 % after harsh winter https://t.co/EvRpu9xiXZ https://t.co/KgeI9C27Hj
CBC	2015-10-27 08:17:03	3	Republicans face big decision after their leadership reach budget deal https://t.co/WMRDyk9f9g https://t.co/1maUCwJPta
CBC	2015-10-27 08:00:44	37	Murder-suicide of B.C. mom and autistic son shows need for more support: family https://t.co/lT4vitE1rT https://t.co/Qu9pKdVlwX
CBC	2015-10-27 07:00:44	5	Former Nova Scotia MP suggests dropping N from NDP https://t.co/3SvqFOJUk7 https://t.co/omC2N1uk3U
CBC	2015-10-27 06:00:22	13	Whale-watching tragedy: what were the rules for life jackets? https://t.co/C4vlah80u1 https://t.co/sxTjIqOXra
CBC	2015-10-27 05:00:39	29	Justin Trudeau to meet with Ontario premier Kathleen Wynne in Toronto https://t.co/wVaYTIKRqC https://t.co/oEVPxEsBpg
CBC	2015-10-27 04:44:40	5	Flames shut out by Islanders, suffer 7th loss in 9 starts https://t.co/BbUS6NTmTt https://t.co/kIBSIoYeSF
CBC	2015-10-27 04:14:59	17	Toronto woman who accused Bill Cosby sues former prosecutor for defamation https://t.co/E9pZ7tzYwC https://t.co/IXZnGOI5yP
CBC	2015-10-27 04:00:30	64	Ethan Hawke helps Mi'kmaq oppose Gulf of St. Lawrence oil exploration https://t.co/MFeAajNsPe https://t.co/0aJoNrQyJJ
CBC	2015-10-27 03:30:22	27	Justin Trudeau will move into Rideau Cottage, not 24 Sussex Drive https://t.co/3kpCuy8ML6 https://t.co/GmdGTQojCD
CBC	2015-10-27 03:30:07	7	Max Domi helps put away Maple Leafs, father's former team https://t.co/HAmErre330 https://t.co/ylk7rX5eZR
CBC	2015-10-27 03:00:06	64	Canada Post halts community mailbox program https://t.co/mcJ3UE7bTa https://t.co/b8cZQ1KAl3
CBC	2015-10-27 02:30:05	86	Waterloo police seek missing Kitchener teen Matthew Domm https://t.co/rCqc9Oiz2X https://t.co/vjVsgr1WM5
CBC	2015-10-27 02:00:32	22	Trump got a million dollars from dad, scorn from the internet https://t.co/QubJmrIbPC https://t.co/EROEuar0eT
CBC	2015-10-27 01:30:13	28	Cougar treed by wild dogs west of Calgary caught on camera https://t.co/X5TInjgDoj https://t.co/iWsjxa7J5o
CBC	2015-10-27 01:04:39	59	Tom Mulcair says niqab position was a defining moment of his political career https://t.co/t4psaHSlbi https://t.co/fYmDGidb7y
CBC	2015-10-27 01:00:19	32	Justin Trudeau urged to take action on Syrian refugees https://t.co/eYHd2HdW73 https://t.co/bcawMAS1dz
CBC	2015-10-27 00:31:28	12	Police union warns against scapegoating Val-d'Or officers for 'social issue' https://t.co/eDZIHTaFvS https://t.co/kuaCW0zcVo
CBC	2015-10-27 00:30:05	16	Toronto-Tel Aviv Air Canada flight diverted to Cyprus after lightning strike https://t.co/leUcw0JQRj https://t.co/XTs0CWXCC4
CBC	2015-10-27 00:14:52	32	Alberta couple stumble across cougar forced up a tree by wild dogs  https://t.co/24XhridVAG https://t.co/CMyiWOD1x8
CBC	2015-10-27 00:01:03	42	5 things: What findings on red, processed meat and cancer really mean https://t.co/PvACkmRVGL https://t.co/5rzuJOL0BU
CBC	2015-10-26 23:45:06	50	Canada Post halts controversial community mailbox program https://t.co/mcJ3UE7bTa https://t.co/vTTAvl5zEc
CBC	2015-10-26 23:35:55	78	Check your Facebook privacy settings: Your old posts might be public https://t.co/iVdsaYfg5C https://t.co/j0SckS8HNE
CBC	2015-10-26 23:35:55	42	Justin Trudeau urged to take action on Syrian refugees  https://t.co/BqZZcBtClO https://t.co/zZAAelPFbV
CBC	2015-10-26 23:30:16	13	The Walking Dead follows Game of Thrones in character killing https://t.co/jNOxXWCLz4 https://t.co/NVAHVaAnbZ
CBC	2015-10-26 23:15:11	47	Earthquake rattles remote areas of Afghanistan and Pakistan, at least 263 dead https://t.co/WC45z5WOzq https://t.co/9HI7k8Dg34
CBC	2015-10-26 23:00:14	33	Roots Canada sells majority stake to Searchlight Capital https://t.co/uJjArJ4Osk https://t.co/rrzJr39KFi
CBC	2015-10-26 22:45:19	28	Cosmetic contact lenses for Halloween no treat for the eyes, optometrists say https://t.co/htNfgOSQ82 https://t.co/6LBUnjQLGi
CBC	2015-10-26 22:30:29	22	Fiat Chrysler Automobiles hiring at Windsor Assembly Plant https://t.co/j9qxqH5syu https://t.co/BzlJE8wS7y
CBC	2015-10-26 22:15:14	77	Law to reduce use of bee-killing pesticides upheld in court https://t.co/f6lDSaKZte https://t.co/vnvpiq2M19
CBC	2015-10-26 22:12:53	23	Roots Canada founders sell control of brand to private equity partner https://t.co/HycToOjmpY https://t.co/Pu6yUUlKI4
CBC	2015-10-26 22:00:21	33	5 things: What the findings on red, processed meat and cancer really mean https://t.co/PvACkmRVGL https://t.co/wCUCWLHUVJ
CBC	2015-10-26 21:45:11	12	Conservatives to elect interim leader on Nov. 5 https://t.co/xcqpEuamjE https://t.co/1jb94CSgrA
CBC	2015-10-26 21:30:22	24	Oil below $44 after Goldman predicts price crash when storage tanks fill https://t.co/K4BwzACIcQ https://t.co/ct7CuMrlxW
CBC	2015-10-26 21:27:30	98	Canada Post halts controversial community mailbox program https://t.co/udnfCU4wLn https://t.co/TjED3DUHGk
CBC	2015-10-26 21:15:13	30	From Zimbabwe to the Arctic: meet Iqaluit's first black councillor https://t.co/2EZoaoWNn8 https://t.co/A5GXZSbnTP
CBC	2015-10-26 21:01:38	9	Wingsuit competition tests daredevils https://t.co/YVER1xAt1v https://t.co/7Gu7MiBptv
CBC	2015-10-26 21:00:29	10	Stolen RCMP gun used in 'senseless' Winnipeg shooting that injured girl https://t.co/tL8ec0xNvP https://t.co/Y08jSDMTEJ
CBC	2015-10-26 20:57:42	7	Hillary Clinton supporters 'giddy' after an 'incredible' month https://t.co/qnNZaNedNP https://t.co/LeC1H6m1dD
CBC	2015-10-26 20:57:41	15	Did The Walking Dead pull a 'Jon Snow' with a beloved character? https://t.co/teIiN4FvbB https://t.co/4LcRL3xMo0
CBC	2015-10-26 20:45:01	49	Actor Ethan Hawke helping Mi'kmaq oppose Gulf of St. Lawrence oil exploration https://t.co/MFeAajNsPe https://t.co/kvPDDQPC3L
CBC	2015-10-26 16:15:37	19	1937 shipwreck appears to be leaking oil in Lake Erie, near Canada/U.S. border https://t.co/UtiyjIeKCR https://t.co/taACr3MfNu
CBC	2015-10-26 15:54:16	64	5 things: What the findings on red, processed meat and cancer really mean https://t.co/io57oDrHRh https://t.co/H2qanpzZNO
CBC	2015-10-26 15:54:15	32	Fans donate Lego to Ai Weiwei after company refuses to fill order https://t.co/rHsKzzxqxB https://t.co/1t5wLzBBGl
CBC	2015-10-26 15:54:14	2	Bieber, Macklemore among MTV Europe Music Awards highlights https://t.co/RnUSccMKXT https://t.co/nggdgoqBtO
CBC	2015-10-26 15:45:25	6	Joe Biden says he didn't run for president because he 'couldn't win' https://t.co/xthAXGwkX3 https://t.co/QJttQuKr3E
CBC	2015-10-26 15:38:27	23	Signing Price, Estrada top of Blue Jays GM's wish list  https://t.co/0AGyTNxd9L https://t.co/vQEDlYC63h
CBC	2015-10-26 15:22:24	16	Ex-Tory frontbencher John Baird won't run for Conservative leadership https://t.co/lrTcLhOfGo https://t.co/Ti6KFFBE7a
CBC	2015-10-26 15:22:23	3	Valeant stock slumps again even as company announces probe into Philidor allegations https://t.co/nKFHOueiNU https://t.co/LEpwpiT3vu
CBC	2015-10-26 13:34:21	30	'We came on a holiday': 5 dead, 1 missing after Tofino whale watching boat capsizes https://t.co/diXY9RMcJL https://t.co/4BfjMy8V7h
CBC	2015-10-26 12:56:58	52	On @CBCMorningShow: Teal Pumpkin Project helps B.C. kids with food allergies feel 'safe' on #Halloween https://t.co/vzVtMSinIh
CBC	2015-10-26 12:16:19	69	Processed meat can cause cancer, red meat probably can, WHO says https://t.co/nAusiF3CgD https://t.co/OFZthZcxYJ
CBC	2015-10-26 11:45:21	48	Montreal to get 106 electric car charging stations by next spring https://t.co/r6gRWgo35h https://t.co/UYffl4rT8x
CBC	2015-10-26 11:30:09	29	Anger at Stephen Harper, disenfranchisement fuelled aboriginal voter turnout, say activists https://t.co/Q8bEoTdIjD https://t.co/h3N11rhB8H
CBC	2015-10-26 11:15:11	131	Netflix to stream Star Wars: The Force Awakens in Canada  and nowhere else https://t.co/xeuq1L53XP https://t.co/QngqplFxVj
CBC	2015-10-26 11:00:27	62	Orca baby boom: 6th baby born this year to endangered pod https://t.co/cGSC7RxxoU https://t.co/99jM15JrOE
CBC	2015-10-26 10:56:50	19	Blue Jays GM to hold year-end news conference this morning https://t.co/9Se0IDshKd https://t.co/b03BoM5qrI
CBC	2015-10-26 10:45:08	94	Uploading Bautista bat flip GIFs could get you sued under TPP, copyright activists warn https://t.co/YhReK9gnAG https://t.co/X9lPxsXsOC
CBC	2015-10-26 10:30:26	7	Iraqi Kurds release footage of raid against ISIS in which U.S. commando died https://t.co/xhZB5Hn2MI https://t.co/Y0xsDwx2iW
