PRODUCT_TYPE_NAME,PRODUCT_CLASS_NAME,PRODUCT_SUB_CLASS_NAME,PRODUCT_MINOR_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,CURRENT_DISPLAY_PRICE,SWEETNESS_CODE
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,ITALY,177691,BAROLO - AZELIA  SAN ROCCO 2009,873739000111,0.75,1,14.5,99,0
LIQUOR,SPIRITS,RUM,AMBER,JAMAICA,177808,APPLETON ESTATE - V/X,621705110759,0.75,1,40,26.5,NA
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,UNITED STATES OF AMERICA,178137,NAPA VALLEY RED - DOMINUS ESTATE DOMINUS 2011,636595109752,0.75,1,14.1,160,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,CANADA,178533,GANTON & LARSEN PROSPECT - PINOT NOIR FATS JOHNSON 11/12,776545400062,0.75,1,13,16.99,0
LIQUOR,SPIRITS,SPIRIT - GIFT PACKS,SPIRIT - GIFT PACKS,CANADA,178590,BACARDI SUPERIOR - BONUS WITH BACARDI & COLA CAN,620213015112,1.14,1,40,36.54,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,ITALY,17939,CHIANTI CLASSICO RISERVA - CASTELLO DI MONSANTO IL POGGIO 77,8033237494771,0.75,1,14,395,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,ITALY,181222,LANGHE NEBBIOLO - GAJA SPERSS 2008,626990116370,1.5,1,13.5,599,0
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,FRANCE,181255,MONTRACHET - LOUIS LATOUR 2009,26861192593,0.75,1,13.9,799.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,FRANCE,181834,CHABLIS GR CRU BOUGROS COTE BOUGUEROTS - DOM WM FEVRE 10/11,3443620006026,0.75,1,13,96,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,CHILE,182055,GRANDE RESERVE - LOS VASCOS COLCHAGUA 10/11,7804360121008,0.75,1,14,23.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,FRANCE,182147,CHATEAU CLOS FOURTET 2010,3277035162608,0.75,1,14.5,288,0
LIQUOR,SPIRITS,SCOTCH WHISKY,SCOTCH - MALT,UNITED KINGDOM,182378,LAPHROAIG - 25 YEAR OLD 2011 EDITION CASK STRENGTH,80686814078,0.75,1,51,629.95,NA
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,FRANCE,182428,DOMAINE DE CHEVALIER 2010,3612170011433,0.75,1,13,160,0
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,FRANCE,182667,CHATEAU DE FIEUZAL BLANC 2010,714153136201,0.75,1,14,99,0
LIQUOR,WINE,APERITIF  DESSERT AND FORTIFIED WINE,VERMOUTH,ITALY,18549,MARTINI - DRY,570008109,0.5,1,18,7.99,1
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,FRANCE,186254,CHATEAU CANON LA GAFFELIERE 2010,3277035201109,0.75,1,13,180,0
LIQUOR,SPIRITS,LIQUEURS,WHISKY,UNITED KINGDOM,1867,DRAMBUIE,10391100753,0.75,1,40,43.49,NA
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,SOUTH AFRICA,187781,SIGNATURE - ERNIE ELS STELLENBOSCH 2007,626990120438,0.75,1,15,74.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,FRANCE,190702,CHABLIS 1ER VAILLONS - DROUHIN VAUDON 10/11,12086323614,0.75,1,12.5,49.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,UNITED STATES OF AMERICA,191429,SAUVIGNON BLANC - CAKEBREAD CELLARS NAPA 10/11,84692479047,0.75,1,14.1,48.95,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,ITALY,191973,TOSCANA - TUA RITA GIUSTO DI NOTRI 10/11,8033481320536,0.75,1,14.5,99.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,FRANCE,193805,LA MONDOTTE 2006,3419466166798,0.75,1,13,399,0
LIQUOR,BEER,BEER,BEER,BELGIUM,194431,DUVEL,5411681014005,0.33,1,8.5,3.48,NA
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,FRANCE,194639,MACON VILLAGES - HERITIERS DU COMTE LAFON  2010,626990086000,0.75,1,13.5,39.93,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,FRANCE,195867,VOSNE ROMANEE 1ER LES SUCHOTS - JADOT 2010,3535921815008,0.75,1,13.5,143,0
LIQUOR,WINE,APERITIF  DESSERT AND FORTIFIED WINE,OTHER FORTIFIED,CANADA,195909,GANTON & LARSEN PROSPECT - ADMIRAL SHORTS OKANAGAN TAWNY,776545400222,0.375,1,17.5,17.99,0
LIQUOR,WINE,TABLE WINE,ICE WINE WHITE,CANADA,196972,G MARQUIS - RIESLING ICEWINE SILVER LINE 09/10,727530550613,0.2,1,10.1,26.99,10
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,CANADA,197244,WHISTLER - LATE HARVEST CHARDONNAY 12/13,626990107750,0.375,1,11.5,19.9,7
LIQUOR,WINE,APERITIF  DESSERT AND FORTIFIED WINE,OTHER FORTIFIED,UNITED STATES OF AMERICA,197707,QUADY - ESSENSIA ORANGE MUSCAT,13022000088,0.375,1,15,16.49,10
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,FRANCE,198218,LANGUEDOC LA CLAPE - BERTRAND CH L'HOSPITALET 10/11,3514120204431,0.75,1,14,26.99,0
LIQUOR,WINE,APERITIF  DESSERT AND FORTIFIED WINE,OTHER FORTIFIED,KOREA - SOUTH,198440,BOKBUNJAJOO - BOHAE BREWERY,8801147120178,0.375,1,14,11.49,6
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,AUSTRALIA,19935,SHIRAZ CABERNET PETIT VERDOT- WIRRA WIRRA SCRUBBY RISE,9315125901042,0.75,1,14.5,18.99,0
LIQUOR,SPIRITS,SCOTCH WHISKY,SCOTCH - MALT,UNITED KINGDOM,199489,THE ARRAN - AMARONE CASK FINISH,5060044481901,0.7,1,50,89.99,NA
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,FRANCE,199505,LA MONDOTTE 2010,3419466184808,0.75,1,13,620,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,UNITED STATES OF AMERICA,201038,CALIFORNIA RED - COLBY RED,89819541645,0.75,1,13,17.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE WHITE,UNITED STATES OF AMERICA,202549,CALIFORNIA WHITE - APOTHIC WINEMAKERS BLEND,85000019733,0.75,1,12.5,16.99,0
LIQUOR,WINE,TABLE WINE,TABLE WINE RED,FRANCE,204297,CLOS VOUGEOT - DOMAINE JADOT 2009,8013160004278,0.75,1,13.5,180,0
